time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2003-01-17 10:32;41.564;-6.001;2.9;3;mblg;12;;;;us;usp000bnq9;2014-11-06 20:17;6 km NE of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-15 18:32;43.03;-0.37;10;2.9;ml;24;;;;us;usp000bnkr;2014-11-06 20:17;6 km NE of Laruns, France;earthquake;;;;;reviewed;str;ldg
2003-01-13 16:12;36.778;-2.975;2;3.2;mblg;20;;;;us;usp000bngw;2014-11-06 20:17;5 km NE of Adra, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-12 23:17;41.554;-6.009;0.9;2.7;mblg;11;;;;us;usp000bnfw;2014-11-06 20:17;Portugal;earthquake;;;;;reviewed;mdd;mdd
2003-01-12 11:25;41.527;-5.992;1.9;3.7;mblg;35;;;;us;usp000bney;2014-11-06 20:17;4 km E of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-12 10:56;41.532;-6.001;3.1;4.3;mblg;78;;;;us;usp000bnew;2014-11-06 20:17;4 km ENE of Villalcampo, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-11 01:08;45.248;7.875;10.1;2.7;md;26;;;;us;usp000bncv;2014-11-06 20:17;2 km NE of Montanaro, Italy;earthquake;;;;;reviewed;rom;rom
2003-01-05 06:20;36.838;-7.356;28.3;2.5;mblg;4;;;;us;usp000bn3r;2014-11-06 20:17;39 km SSE of Monte Gordo, Portugal;earthquake;;;;;reviewed;mdd;mdd
2003-01-04 13:29;49.137;6.821;1;2.8;ml;21;;;;us;usp000bn2j;2014-11-06 20:17;1 km W of Béning-lès-Saint-Avold, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-03 20:20;46;7.9;8;2.7;ml;37;;;;us;usp000bn11;2014-11-06 20:17;6 km NW of Staffa, Italy;earthquake;;;;;reviewed;zur;zamg
2003-01-03 17:16;38.299;-0.938;6;2.6;mblg;4;;;;us;usp000bn0t;2014-11-06 20:17;2 km NNW of Hondón de los Frailes, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-03 14:47;44.841;8.437;9;2.5;ml;28;;;;us;usp000bn0q;2014-11-06 20:17;2 km NW of Bergamasco, Italy;earthquake;;;;;reviewed;gen;gen
2003-01-02 10:55;48.015;-2.372;4;3.1;ml;7;;;;us;usp000bmy8;2014-11-06 20:17;2 km NNE of Loyat, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-01 16:50;43.108;-0.513;5;2.6;ml;9;;;;us;usp000bmwz;2014-11-06 20:17;4 km S of Ogeu-les-Bains, France;earthquake;;;;;reviewed;ldg;ldg
2003-01-01 15:47;42.91;-0.91;5;2.5;ml;14;;;;us;usp000bmww;2014-11-06 20:17;9 km NNE of Urzainqui, Spain;earthquake;;;;;reviewed;str;ldg
2003-01-01 10:32;42.096;-8.838;4.3;2.9;mblg;9;;;;us;usp000bmw5;2014-11-06 20:17;2 km SSE of Baiona, Spain;earthquake;;;;;reviewed;mdd;mdd
2003-01-01 06:24;49.16;6.84;1;3;ml;40;;;;us;usp000bmvs;2014-11-06 20:17;2 km NW of Cocheren, France;earthquake;;;;;reviewed;fbb;ldg
2003-01-01 06:01;42.93;-0.91;5;2.9;ml;35;;;;us;usp000bmvr;2014-11-06 20:17;11 km NNE of Urzainqui, Spain;earthquake;;;;;reviewed;str;ldg
2002-12-31 19:55;36.132;2.911;10;4.8;mb;132;;;1.04;us;usp000bmuh;2014-11-06 20:17;0 km S of Berrouaghia, Algeria;earthquake;;;;50;reviewed;us;us
2002-12-31 18:04;50.242;4.561;8;2.5;ml;13;;;;us;usp000bmu7;2014-11-06 20:17;3 km WSW of Florennes, Belgium;earthquake;;;;;reviewed;ldg;ldg
2002-12-28 10:36;37.135;-3.607;0;2.8;mblg;17;;;;us;usp000bmkk;2014-11-06 20:17;1 km N of Ogíjares, Spain;earthquake;;;;;reviewed;mdd;mdd
2002-12-27 18:55;42.359;-8.504;11.2;3.1;mblg;10;;;;us;usp000bmj3;2014-11-06 20:17;4 km WNW of Fornelos de Montes, Spain;earthquake;;;;;reviewed;mdd;mdd
2002-12-27 17:26;47.03;6.64;5;2.5;ml;38;;;;us;usp000bmhz;2014-11-06 20:17;2 km ESE of Montlebon, France;earthquake;;;;;reviewed;str;zur
2002-12-27 07:06;42.499;-1.719;2;2.6;ml;4;;;;us;usp000bmh2;2014-11-06 20:17;4 km SW of Tafalla, Spain;earthquake;;;;;reviewed;ldg;ldg
